registration_number,legal_name,trade_name,address,county,status,status_label,date_first_registered,date_registered_begins,registered_through,deleted_date,latitude,longitude
19404,"10 PARK PHARMACY, INC.",PASTEUR PHARMACY,53 E. 34TH ST. NEW YORK NY 10016,NEW YORK,Active,Establishment Status,"March 23, 1987","April 01, 2022","March 31, 2025",,40.7476342,-73.981923
39919,100 CARE PHARMACY INC.,,36-42 UNION STREET FLUSHING NY 11354,QUEENS,Active,Establishment Status,"November 09, 2022","November 09, 2022","October 31, 2025",,40.7626309,-73.8278344
38525,101 RX PHARMACY INC,,9718 101ST AVE. OZONE PARK NY 11416,QUEENS,Active,Establishment Status,"February 19, 2021","February 19, 2021","January 31, 2024",,40.6847878,-73.8433708
33179,1070 SOUTHERN DRUG LLC,BOCA PHARMACY,1070 SOUTHERN BLVD BRONX NY 10459-2499,BRONX,Active,Establishment Status,"December 01, 2014","December 01, 2020","November 30, 2023",,40.8253367,-73.8915682
39246,108 PHARMACY INC.,,45-02 108TH STREET NEW YORK NY 11368,NEW YORK,Active,Establishment Status,"December 15, 2021","December 15, 2021","November 30, 2024",,40.747696,-73.85754899999999
38019,1105 JTP LLC,GENOME PHARMACY,1105 JERICHO TPKE NEW HYDE PARK NY 11040,NASSAU,Active,Establishment Status,"April 07, 2020","April 07, 2020","March 31, 2023",,40.7328929,-73.6847765
33751,1150 WEBSTER PHARMACY INC.,167TH STREET PHARMACY,1150 WEBSTER AVE. BRONX NY 10456-5205,BRONX,Active,Establishment Status,"August 28, 2015","August 01, 2021","July 31, 2024",,40.8302967,-73.9103745
38426,12 MILE ROAD PHARMACY INC.,,3348 12 MILE ROAD BERKLEY MI 48072,,Active,Establishment Status,"August 21, 2020","August 21, 2020","July 31, 2023",,42.5031325,-83.1930959
31972,123 PHARMACY INC.,WE CARE PHARMACY,764 BURKE AVENUE BRONX NY 10467,BRONX,Active,Establishment Status,"June 21, 2013","June 01, 2022","May 31, 2025",,40.8712539,-73.8645248
38735,123 PHARMACY INC.,,37-12 PRINCE ST. RETAIL F14 FLUSHING NY 11354,QUEENS,Active,Establishment Status,"March 18, 2021","March 18, 2021","February 29, 2024",,40.7604178,-73.8331616
34982,1325 FIFTH AVE. DRUGS INC.,OCEANSIDE PHARMACY & SUPERMARKET,3206 MERMAID AVE. BROOKLYN NY 11224-1810,KINGS,Active,Establishment Status,"November 18, 2016","November 01, 2022","October 31, 2025",,40.5749788,-73.9987153
15748,133 DRUG CORP.,LAKEVIEW PHARMACY,133 LAKEVIEW AVE. LYNBROOK NY 11563,NASSAU,Active,Establishment Status,"February 19, 1977","March 01, 2022","February 28, 2025",,40.66559669999999,-73.66564679999999
27564,133RD STREET PHARMACY INC.,,1473 AMSTERDAM AVE STORE 1 NEW YORK NY 10027,NEW YORK,Active,Establishment Status,"December 02, 2005","December 01, 2020","November 30, 2023",,40.8172647,-73.9530382
38860,135 JERICHO PHARMACY CORP,,135 WEST JERICHO TURNPIKE STORE #3 HUNTINGTON STATION NY 11746,SUFFOLK,Active,Establishment Status,"June 28, 2021","June 28, 2021","May 31, 2024",,40.8290951,-73.414614
39032,137 MOTT PHARMACY INC.,,137 MOTT STREET NEW YORK NY 10013,NEW YORK,Active,Establishment Status,"August 24, 2021","August 24, 2021","July 31, 2024",,40.7185791,-73.99690369999999
33068,"139 CENTER PHARMACY, LLC.",,139 CENTRE ST. STORE 105 NEW YORK NY 10013,NEW YORK,Active,Establishment Status,"September 19, 2014","September 01, 2020","August 31, 2023",,40.7174837,-74.000708
15978,139 PHARMACY INC.,,3415 BROADWAY NEW YORK NY 10031,NEW YORK,Active,Establishment Status,"October 28, 1977","November 01, 2022","October 31, 2025",,40.8225797,-73.9537311
30745,13TH AVE PHARMACY INC.,,5211-13TH AVE. BROOKLYN NY 11219,KINGS,Active,Establishment Status,"July 01, 2011","July 01, 2020","June 30, 2023",,40.6330138,-73.99402429999999
36579,1400 ST NICHOLAS LLC,SAFE HEART PHARMACY,1400 ST. NICHOLAS AVE. NEW YORK NY 10033,NEW YORK,Active,Establishment Status,"June 22, 2018","June 01, 2021","May 31, 2024",,40.8486496,-73.93402480000002
34115,145TH ST PHARMACY INC.,,300 W. 145TH STREET NEW YORK NY 10039,NEW YORK,Active,Establishment Status,"December 17, 2015","December 01, 2021","November 30, 2024",,40.822922,-73.9426429
35767,161 ST. PHARMA INC.,161 ST PHARMACY & SURGICAL SUPPLIES,275 E 161ST ST. BRONX NY 10451,BRONX,Active,Establishment Status,"April 25, 2018","April 01, 2021","March 31, 2024",,40.825595,-73.9180482
29665,1622 VOORHIES AVE PHARMACY INC.,SUNSHINE PHARMACY,1622 VOORHIES AVE BROOKLYN NY 11235,KINGS,Active,Establishment Status,"October 05, 2009","October 01, 2021","September 30, 2024",,40.58581119999999,-73.9521534
38398,168 DME INC,168 PHARMACY,135-05 38TH AVE. FLUSHING NY 11354,QUEENS,Active,Establishment Status,"September 29, 2020","September 29, 2020","August 31, 2023",,40.7604231,-73.8323834
39526,169 DME INC.,169 PHARMACY,136-46 41ST AVE UNIT 1D FLUSHING NY 11355,QUEENS,Active,Establishment Status,"May 12, 2022","May 12, 2022","April 30, 2025",,40.7587546,-73.8277085
19989,1699 FANCY PHARMACY INC.,,132 ALLEN ST. NEW YORK NY 10002-3008,NEW YORK,Active,Establishment Status,"October 28, 1988","November 01, 2022","October 31, 2025",,40.7198595,-73.9896435
38082,16TH AVE PHARMACY LLC,,4605 16TH AVE. BROOKLYN NY 11204-1105,KINGS,Active,Establishment Status,"April 07, 2020","April 07, 2020","March 31, 2023",,40.6324695,-73.9837445
39423,173 PHARMACY CORP.,,572 W 173RD ST NEW YORK NY 10032,NEW YORK,Active,Establishment Status,"April 07, 2022","April 07, 2022","March 31, 2025",,40.8439245,-73.93733619999999
16591,"1746 PHARMACY, CORP.",CLARKSON PHARMACY,524 CLARKSON AVE. BROOKLYN NY 11203,KINGS,Active,Establishment Status,"October 24, 1979","November 01, 2022","October 31, 2025",,40.6557088,-73.9421014
36613,175 JERICHO PHARMACY CORP.,SYOSSET PHARMACY,175 JERICHO TPKE. WEST LOBBY SUITE SYOSSET NY 11791-4532,NASSAU,Active,Establishment Status,"May 24, 2018","May 01, 2021","April 30, 2024",,40.8105921,-73.51001500000001
26615,"179 ATLANTIC, INC.",HEALTH MART PHARMACY,29 ATLANTIC AVENUE FREEPORT NY 11520,NASSAU,Active,Establishment Status,"April 27, 2004","May 01, 2022","April 30, 2025",,40.6461289,-73.5767564
34670,18 PHARMACY INC,MCP RX,89 BOWERY NEW YORK NY 10002,NEW YORK,Active,Establishment Status,"June 07, 2016","June 01, 2022","May 31, 2025",,40.716972,-73.99523839999999
25953,181 PHARMACY INC.,TULSI PHARMACY,565 W. 181 ST. ST. NEW YORK NY 10033,NEW YORK,Active,Establishment Status,"May 21, 2003","June 01, 2022","May 31, 2025",,40.8491665,-73.9326066
38230,1875 LEXINGTON AVENUE LLC OF NYS,QUICK RX,279 MAIN ST. SUITE 103 NEW PALTZ NY 12561-1623,ULSTER,Active,Establishment Status,"October 29, 2020","October 29, 2020","September 30, 2023",,41.743439,-74.0681099
36986,"1ST AMERICA INFUSION SERVICES, LLC",ADVANCED INFUSIONCARE,212 NORTHSIDE DRIVE VALDOSTA GA 31602,,Active,Establishment Status,"October 01, 2018","October 01, 2021","September 30, 2024",,30.8705528,-83.28607819999999
28463,21 AVE PHARMACY & MEDICAL SUPPLY INC.,,8511 21ST AVE BROOKLYN NY 11214,KINGS,Active,Establishment Status,"July 27, 2007","July 01, 2022","June 30, 2025",,40.6035003,-73.99550239999999
39026,"211 MCLEAN AVE. PHARMACY, INC.",MCLEAN AVE PHARMACY,211 MCLEAN AVE YONKERS NY 10705,WESTCHESTER,Active,Establishment Status,"September 23, 2021","September 23, 2021","August 31, 2024",,40.9131174,-73.8900146
32283,21ST CENTURY PHARMACY INC.,,96-05 57TH AVE. CORONA NY 11368,QUEENS,Active,Establishment Status,"October 02, 2013","October 01, 2022","September 30, 2025",,40.7371539,-73.8647835
38924,2205 HEALTH INC,MEDLAND PHARMACY,1871 86TH STREET BROOKLYN NY 11214,KINGS,Active,Establishment Status,"July 08, 2021","July 08, 2021","June 30, 2024",,40.60639279999999,-74.000759
38283,2355 2ND AVE NYS LLC,QUICK RX,2355 2ND AVE NEW YORK NY 10035,NEW YORK,Active,Establishment Status,"November 10, 2020","November 10, 2020","October 31, 2023",,40.8001376,-73.9358214
15922,255 COLUMBUS AVENUE CORPORATION,WESTSIDE PHARMACY,255 COLUMBUS AVE. NEW YORK NY 10023,NEW YORK,Active,Establishment Status,"August 30, 1977","September 01, 2022","August 31, 2025",,40.7770842,-73.9787523
17632,272 DRUG CORP.,VAL-U DRUGS,4623 CHURCH AVE. BROOKLYN NY 11203,KINGS,Active,Establishment Status,"December 21, 1982","January 01, 2023","December 31, 2025",,40.65181949999999,-73.93351369999999
35024,274 BRIGHTON BEACH DRUG INC.,PHARMACY EXPRESS,274 BRIGHTON BEACH AVE BROKKLYN NY 11235-7411,KINGS,Active,Establishment Status,"December 14, 2016","December 01, 2022","November 30, 2025",,40.5766695,-73.9647401
38708,28 PHARMACY INC.,,136-63 41 AVE. 1ST FLR. FLUSHING NY 11355,QUEENS,Active,Establishment Status,"April 22, 2021","April 22, 2021","March 31, 2024",,40.758873,-73.828874
28392,"2818 FULTON STREET PHARMACY, INC.",FULTON PHARMACY,2818 FULTON STREET BROOKLYN NY 11207,KINGS,Active,Establishment Status,"August 28, 2007","August 01, 2022","July 31, 2025",,40.6780614,-73.8905466
21557,2R DRUG CORP.,SUNRISE PHARMACY,111-21 JAMAICA AVE. RICHMOND HILL NY 11418,QUEENS,Active,Establishment Status,"March 17, 1993","April 01, 2022","March 31, 2025",,40.6973575,-73.8367063
34410,30TH AVENUE PHARMACY INC.,,35-06 30TH AVENUE ASTORIA NY 11103-4623,QUEENS,Active,Establishment Status,"March 31, 2016","March 01, 2022","February 28, 2025",,40.7650886,-73.91807899999999
27550,31ST & 3RD PHARMACY INC.,AVITA PHARMACY 1063,1860 WALT WHITMAN RD. SUITE 700 MELVILLE NY 11747,SUFFOLK,Active,Establishment Status,"January 31, 2006","January 01, 2021","December 31, 2023",,40.7688631,-73.4261379
39343,31ST & 3RD PHARMACY INC.,AVITA PHARMACY 1069,307 WEST 38TH ST STE 05-013 NEW YORK NY 10018,NEW YORK,Active,Establishment Status,"April 27, 2022","April 27, 2022","March 31, 2025",,40.7551316,-73.992355
31325,32-24 DRUG CORP.,ATHENA'S PHARMACY,32-84 STEINWAY ST. ASTORIA NY 11103-4006,QUEENS,Active,Establishment Status,"June 06, 2012","June 01, 2021","May 31, 2024",,40.7570364,-73.9207753
8536,"405 86TH ST. PHARMACY, INC.",GLOBE DRUG STORE,405 86TH ST. BROOKLYN NY 11209,KINGS,Active,Establishment Status,"February 11, 1960","March 01, 2022","February 28, 2025",,40.622847,-74.0279621
26463,424 NEIGHBORHOOD PHARMACY INC.,,424 SUTTER AVE. STORE #4 BROOKLYN NY 11212,KINGS,Active,Establishment Status,"April 02, 2004","May 01, 2022","April 30, 2025",,40.6679405,-73.90323529999999
32143,45 LUDLOW PHARMACY & SURGICAL SUPPLIES CORP,THE MEDICINE CABINET PHARMACY 3,45 LUDLOW ST YONKERS NY 10705,WESTCHESTER,Active,Establishment Status,"August 28, 2013","August 01, 2022","July 31, 2025",,40.9239582,-73.8980047
31933,"4800 BEAR ROAD OPERATING COMPANY, LLC.",,4800 BEAR ROAD LIVERPOOL NY 13088-4604,ONONDAGA,Active,Establishment Status,"August 06, 2013","August 01, 2022","July 31, 2025",,43.1223605,-76.1804883
22921,5247 BROADWAY DRUGS INC.,DRUG MART,5203A BROADWAY BRONX NY 10463,BRONX,Active,Establishment Status,"January 06, 1997","February 01, 2022","January 31, 2025",,40.874734,-73.9098649
29244,"679 STANLEY AVENUE DRUGS, INC.",MARBEN PHARMACY,679 STANLEY AVE BROOKLYN NY 11207,KINGS,Active,Establishment Status,"January 20, 2009","January 01, 2021","December 31, 2023",,40.6596812,-73.883674
39565,71ST CHEMIST INC,RELIABLE PHARMACY,107-10A 71ST RD FOREST HILLS NY 11375,QUEENS,Active,Establishment Status,"June 06, 2022","June 06, 2022","May 31, 2025",,40.7199503,-73.8432316
36828,736 JACKSON PHARMACY CORP.,BOCA PHARMACY,736 EAST 152ND ST. BRONX NY 10455,BRONX,Active,Establishment Status,"August 06, 2018","August 01, 2021","July 31, 2024",,40.8157001,-73.90734619999999
24771,75 BURNSIDE DRUG & SURGICAL INC.,BURNSIDE PHARMACY,75 WEST BURNSIDE AVE. BRONX NY 10453,BRONX,Active,Establishment Status,"August 30, 2000","September 01, 2022","August 31, 2025",,40.8546921,-73.9102549
18506,791 MORRIS DRUG CORP.,BINA DRUG,1630 PITKIN AVE. BROOKLYN NY 11212,KINGS,Active,Establishment Status,"March 14, 1985","April 01, 2022","March 31, 2025",,40.6691802,-73.9130524
20292,82 COLUMBUS CORP.,PARK WEST PHARMACY,461 COLUMBUS AVE. NEW YORK NY 10024,NEW YORK,Active,Establishment Status,"September 07, 1989","October 01, 2022","September 30, 2025",,40.7839147,-73.9737737
38083,86 BOBO PHARMACY INC,,2170 86TH STREET BROOKLYN NY 11214,KINGS,Active,Establishment Status,"April 22, 2020","April 22, 2020","March 31, 2023",,40.6020382,-73.9944694
