registration_number,legal_name,trade_name,address,county,status,status_label,date_first_registered,date_registered_begins,registered_through,deleted_date
038184,"1 PLUS PHARMACY, CORP.",,29 EAST BROADWAY NEW YORK NY 10002,NEW YORK,Not Active,Establishment Status,Not On File,,"September 23, 2020","September 23, 2020"
028701,"1 STOP PHARMACY & FOOD MART, INC.",,C/O PHARMACY 71-17 ROOSEVELT AVE JACKSON HEIGHTS NY 11372,QUEENS,Discontinued,Establishment Status,"December 12, 2007","December 12, 2007","March 16, 2009","March 16, 2009"
017003,10 MONROE DRUG CORP.,VILLAGE SHOPPE PHARMACY,61 CATHERINE ST NEW YORK NY 10038,NEW YORK,Transfer,Establishment Status,"December 08, 1980",,"December 07, 1988","December 07, 1988"
019404,"10 PARK PHARMACY, INC.",PASTEUR PHARMACY,53 E. 34TH ST. NEW YORK NY 10016,NEW YORK,Active,Establishment Status,"March 23, 1987","April 01, 2022","March 31, 2025",
039919,100 CARE PHARMACY INC.,,36-42 UNION STREET FLUSHING NY 11354,QUEENS,Active,Establishment Status,"November 09, 2022","November 09, 2022","October 31, 2025",
032914,101 FIRST CARE PHARMACY INC.,MI CASA RX,18 EAST 183RD STREET BRONX NY 10453,QUEENS,Not Registered,Establishment Status,"August 06, 2014","August 01, 2017","July 31, 2020",
018718,101 PHARMACY INC.,,59 EAST 183RD ST. BRONX NY 10453,BRONX,Discontinued,Establishment Status,"July 30, 1985",,"June 30, 1991","June 30, 1991"
038525,101 RX PHARMACY INC,,9718 101ST AVE. OZONE PARK NY 11416,QUEENS,Active,Establishment Status,"February 19, 2021","February 19, 2021","January 31, 2024",
034593,103 PHARMACY INC.,,2002 SECOND AVENUE STORE 1 NEW YORK NY 10029,NEW YORK,Transfer,Establishment Status,"June 22, 2016","June 01, 2019","May 27, 2021","May 27, 2021"
026172,1054 WEST BEECH INC.,KINGS PHARMACY,1054 WEST BEECH STREET LONG BEACH NY 11561,NASSAU,Transfer,Establishment Status,"August 26, 2003","September 01, 2007","August 26, 2010","August 26, 2010"
018784,"1055 PHARMACY, INC.",,1055 GRAND CONCOURSE BRONX NY 10458,BRONX,Discontinued,Establishment Status,"September 16, 1985",,"January 31, 1990","January 31, 1990"
015273,106 GRAHAM AVE. PHARMACY INC.,FAMACIA SALUD,106 GRAHAM AVE. BROOKLYN NY 11206,KINGS,Transfer,Establishment Status,"December 20, 1975",,"October 07, 1997","October 07, 1997"
036477,106 OZONE PK RX INC,OZONE PHARMACY,106-21 C 97TH ST. OZONE PARK NY 11417,QUEENS,Not Active,Establishment Status,Not On File,,"July 23, 2018","July 23, 2018"
017979,1068 DRUG CORP.,MIDWOOD MEDICAL PHARMACY,1068 FLATBUSH AVE. BROOKLYN NY 11226,KINGS,Discontinued,Establishment Status,"December 09, 1983",,"February 12, 2001","February 12, 2001"
